F A64L.3;1                          	a64l.3
F LDNSSEEK.3X;1                     	ldnsseek.3x
F LDOHSEEK.3X;1                     	ldohseek.3x
F LDOPEN.3X;1                       	ldopen.3x
F LDRSEEK.3X;1                      	ldrseek.3x
F LDSHREAD.3X;1                     	ldshread.3x
F LDSSEEK.3X;1                      	ldsseek.3x
F LDTBINDE.3X;1                     	ldtbindex.3x
F LDTBREAD.3X;1                     	ldtbread.3x
F LDTBSEEK.3X;1                     	ldtbseek.3x
F LEAVEOK.3V;1                      	leaveok.3v
F LEAVEOK.3X;1                      	leaveok.3x
F LFIND.3;1                         	lfind.3
F LGAMMA.3M;1                       	lgamma.3m
F LINE.3X;1                         	line.3x
F LINEMOD.3X;1                      	linemod.3x
F LIST.000;1                        	List.3
F LIST.001;1                        	List.3l
F LIST.002;1                        	List.3m
F LIST.003;1                        	List.3r
F LIST.3;1                          	list.3
F LIST.3L;1                         	list.3l
F LIST.3M;1                         	list.3m
F LIST.3R;1                         	list.3r
F LOCALDTC.3;1                      	localdtconv.3
F LOCALECO.3;1                      	localeconv.3
F LOCALTIM.3V;1                     	localtime.3v
F LOCKF.3;1                         	lockf.3
F LOG.3M;1                          	log.3m
F LOG10.3M;1                        	log10.3m
F LOG1P.3M;1                        	log1p.3m
F LOG2.3M;1                         	log2.3m
F LOGB.3M;1                         	logb.3m
F LONGJMP.3;1                       	longjmp.3
F LONGJMP.3V;1                      	longjmp.3v
F LONGNAME.3V;1                     	longname.3v
F LONGNAME.3X;1                     	longname.3x
F LRAND48.3;1                       	lrand48.3
F LSEARCH.3;1                       	lsearch.3
F LTOL3.3C;1                        	ltol3.3c
F LWP_CHEC.3L;1                     	lwp_checkstkset.3l
F LWP_CREA.3L;1                     	lwp_create.3l
F LWP_CTXI.3L;1                     	lwp_ctxinit.3l
F LWP_CTXM.000;1                    	lwp_ctxmemget.3l
F LWP_CTXM.3L;1                     	lwp_ctxmemset.3l
F LWP_CTXR.3L;1                     	lwp_ctxremove.3l
F LWP_CTXS.3L;1                     	lwp_ctxset.3l
F LWP_DATA.3L;1                     	lwp_datastk.3l
F LWP_DEST.3L;1                     	lwp_destroy.3l
F LWP_ENUM.3L;1                     	lwp_enumerate.3l
F LWP_ERRS.3L;1                     	lwp_errstr.3l
F LWP_FPSE.3L;1                     	lwp_fpset.3l
F LWP_GETE.3L;1                     	lwp_geterr.3l
F LWP_GETR.3L;1                     	lwp_getregs.3l
F LWP_GETS.3L;1                     	lwp_getstate.3l
F LWP_JOIN.3L;1                     	lwp_join.3l
F LWP_LIBC.3L;1                     	lwp_libcset.3l
F LWP_NEWS.3L;1                     	lwp_newstk.3l
F LWP_PERR.3L;1                     	lwp_perror.3l
F LWP_PING.3L;1                     	lwp_ping.3l
F LWP_RESC.3L;1                     	lwp_resched.3l
F LWP_RESU.3L;1                     	lwp_resume.3l
F LWP_SELF.3L;1                     	lwp_self.3l
F LWP_SETP.3L;1                     	lwp_setpri.3l
F LWP_SETR.3L;1                     	lwp_setregs.3l
F LWP_SETS.000;1                    	lwp_setstate.3l
F LWP_SETS.3L;1                     	lwp_setstkcache.3l
F LWP_SLEE.3L;1                     	lwp_sleep.3l
F LWP_STAT.3L;1                     	lwp_status.3l
F LWP_STKC.3L;1                     	lwp_stkcswset.3l
F LWP_SUSP.3L;1                     	lwp_suspend.3l
F LWP_YIEL.3L;1                     	lwp_yield.3l
F MADD.3X;1                         	madd.3x
F MADVISE.3;1                       	madvise.3
F MAKEFILE.;1                       	Makefile
F MALLOC.3V;1                       	malloc.3v
F MALLOCMA.3;1                      	mallocmap.3
F MALLOC_D.3;1                      	malloc_debug.3
F MALLOC_V.3;1                      	malloc_verify.3
F MATHERR.3M;1                      	matherr.3m
F MAX_NORM.3M;1                     	max_normal.3m
F MAX_SUBN.3M;1                     	max_subnormal.3m
F MBLEN.3;1                         	mblen.3
F MBSTOWCS.3;1                      	mbstowcs.3
F MBTOWC.3;1                        	mbtowc.3
F MCMP.3X;1                         	mcmp.3x
F MDIV.3X;1                         	mdiv.3x
F MEMALIGN.3;1                      	memalign.3
F MEMCCPY.3;1                       	memccpy.3
F MEMCHR.3;1                        	memchr.3
F MEMCMP.3;1                        	memcmp.3
F MEMCPY.3;1                        	memcpy.3
F MEMORY.3;1                        	memory.3
F MEMSET.3;1                        	memset.3
F META.3V;1                         	meta.3v
F MFREE.3X;1                        	mfree.3x
F MIN.3X;1                          	min.3x
F MINSTACK.3L;1                     	MINSTACKSZ.3l
F MIN_NORM.3M;1                     	min_normal.3m
F MIN_SUBN.3M;1                     	min_subnormal.3m
F MKSTEMP.3;1                       	mkstemp.3
F MKTEMP.3;1                        	mktemp.3
F MLOCK.3;1                         	mlock.3
F MLOCKALL.3;1                      	mlockall.3
F MODF.3M;1                         	modf.3m
F MONCONTR.3;1                      	moncontrol.3
F MONITOR.3;1                       	monitor.3
F MONITOR.3L;1                      	MONITOR.3l
F MONSTART.3;1                      	monstartup.3
F MON_BREA.3L;1                     	mon_break.3l
F MON_COND.3L;1                     	mon_cond_enter.3l
F MON_CREA.3L;1                     	mon_create.3l
F MON_DEST.3L;1                     	mon_destroy.3l
F MON_ENTE.3L;1                     	mon_enter.3l
F MON_ENUM.3L;1                     	mon_enumerate.3l
F MON_EXIT.3L;1                     	mon_exit.3l
F MON_WAIT.3L;1                     	mon_waiters.3l
F MOUNT.3R;1                        	mount.3r
F MOUT.3X;1                         	mout.3x
F MOVE.3V;1                         	move.3v
F MOVE.3X;1                         	move.3x
F MP.3X;1                           	mp.3x
F MRAND48.3;1                       	mrand48.3
F MSG_ENUM.000;1                    	msg_enumrecv.3l
F MSG_ENUM.3L;1                     	msg_enumsend.3l
F MSG_RECV.000;1                    	MSG_RECVALL.3l
F MSG_RECV.3L;1                     	msg_recv.3l
F MSG_REPL.3L;1                     	msg_reply.3l
F MSG_SEND.3L;1                     	msg_send.3l
F MSUB.3X;1                         	msub.3x
F MSYNC.3;1                         	msync.3
F MTOX.3X;1                         	mtox.3x
F MULT.3X;1                         	mult.3x
